Day,Subj,Task,PDLat,PDndMax,PDndMean,PDndMed,Eye,EyeTask
Day1,S1,Stressed,1332.274659,2.73807901260986,2.03189963018987,2.06011580914971,Left,Left-CT
Day1,S2,Stressed,1508.933758,1.7513968574705,1.14051634798159,1.13786237917088,Left,Left-CT
Day2,S3,Stressed,1849.586674,1.53731156645454,1.07176910368556,1.07033021885064,Left,Left-CT
Day2,S5,Stressed,93.50827,1.39333181502965,1.10133610036763,1.09879891468466,Left,Left-CT
Day4,S7,Stressed,10.60141,1.47799769762863,1.05663068289314,1.05476607070855,Left,Left-CT
Day1,S11,Stressed,396.811721,1.44674569123407,1.07971002504559,1.0888248537946,Left,Left-CT
Day3,S12,Stressed,563.282272,1.50662556614381,1.18152390790153,1.17851639611993,Left,Left-CT
Day3,S13,Stressed,1570.736725,1.26651594405509,0.940763512151289,0.946848913962116,Left,Left-CT
Day4,S15,Stressed,147.483218,1.43852929347775,1.10553982755336,1.10595310561682,Left,Left-CT
Day2,S17,Stressed,1339.377858,1.48329679054756,1.13110120347423,1.12398928374077,Left,Left-CT
Day3,S19,Stressed,1735.862978,1.3904428998455,1.04334464213417,1.04050609543416,Left,Left-CT
Day4,S20,Stressed,561.556766,1.47949483387369,1.08075247785736,1.08500013541214,Left,Left-CT
Day3,S22,Stressed,781.59736,1.58476595977762,1.1882504589121,1.19117342315145,Left,Left-CT
Day1,S23,Stressed,1560.643714,1.56118421327491,1.13845969809196,1.1381319228993,Left,Left-CT
Day2,S25,Stressed,17.533581,1.28709592424354,1.01247871625698,1.01398102114085,Left,Left-CT
Day4,S26,Stressed,701.577867,1.57355504032638,1.20038785760295,1.19554524925957,Left,Left-CT
Day1,S1,Stressed,1332.174739,2.85103824885142,1.93064487735576,1.94737427574287,Right,Right-CT
Day1,S2,Stressed,173.127777,1.45282388243637,1.11198569232565,1.10465715448836,Right,Right-CT
Day2,S3,Stressed,820.685003,1.58584684134254,1.07832941476645,1.08051198122824,Right,Right-CT
